player_id,first_name,last_name,position
4378,Thomas,Evans,G
5347,Nyheim,Hines,RB
6441,James,Jegede,DT
6701,Fred,Trevillion,WR
5931,Blace,Brown,CB
2106,David,Fales,QB
3272,Miles,Killebrew,FS
1066,George,Iloka,SS
6415,Donnell,Greene,G
4622,Keelan,Cole,WR
3572,Andrew,Bonnet,FB
5281,Troy,Williams,QB
3446,Joel,Heath,DE
4214,Shelton,Gibson,WR
5645,Nick,Gates,G
2706,Terry,Williams,NT
3671,Jake,Reed,C
2538,Gerod,Holliman,FS
1277,Chris,Lewis-Harris,CB
2254,Asante,Cleveland,TE
5709,Luis,Perez,QB
4229,Mason,Schreck,TE
4476,Greg,Mabin,CB
4188,Damontae,Kazee,CB
4898,Chris,Schneider,OT
6134,Gerald,Willis III,DT
71,Jason,Avant,WR
2054,Colton,Underwood,DE
4156,Nico,Siragusa,G
6195,Damon,Sheehy-Guiseppi,WR
4242,Kofi,Amichia,OT
4768,Adam,Zaruba,TE
5837,Redford,Jones,K
4124,Ahkello,Witherspoon,CB
5797,Duplicate,Player,ILB
6284,Marcus,Epps,SS
1939,Derel,Walker,WR
6663,Micah,Wright,WR
4658,Jomal,Wiltz,CB
5548,Elijah,Marks,WR
1026,Bryce,Brown,RB
3719,Jacob,Flores,C
780,Tony,Carter,CB
2282,Fitzgerald,Toussaint,RB
4716,Dan,Skipper,OT
1048,Lamar,Miller,RB
1327,Ronald,Leary,G
3122,Ken,Zampese,NA
3721,Josh,Hawkins,CB
5277,Deon,Yelder,TE
4779,Bra'lon,Cherry,WR
2508,Amarlo,Herrera,ILB
1131,Dontari,Poe,NT
2341,TJ,Yeldon,RB
5510,Taylor,Hearn,G
4530,Jonathan,McLaughlin,OT
4240,Jeremiah,Ledbetter,DE
3598,Luke,Rhodes,ILB
4374,Donatello,Brown,CB
910,Henry,Hynoski,FB
3814,Ishaq,Williams,DE
635,Mike,Iupati,G
3908,Eric,Wallace,TE
212,John,Denney,LS
3828,Marwin,Evans,FS
5826,Jameer,Thurman,ILB
4909,Duce,Staley,RB
1522,Sam,Barrington,ILB
4291,Travis,Averill,G
1417,Zaviar,Gooden,ILB
2742,Nick,Marshall,CB
2860,Bryce,Callahan,CB
6238,Tyree,Mayfield,TE
370,Nate,Washington,WR
4095,Malik,McDowell,DT
876,Brandon,Bair,DE
5062,Mason,Cole,C
2800,Mario,Hull,WR
5471,Trey,Johnson,CB
4135,Trey,Hendrickson,DE
4638,Josh,Banks,DT
5020,B.J.,Hill,DE
1575,Andre,Ellington,RB
3950,Joe,Powell,SS
2880,Zach,Laskey,RB
5502,Mychealon,Thomas,DE
5730,Mark,Myers,CB
2850,Bobby,Richardson,DT
4027,Robert,Saleh,NA
1724,Rashad,Ross,WR
332,Jairus,Byrd,FS
6353,Troy,Reeder,ILB
5273,Kamryn,Pettway,RB
4823,Keevan,Lucas,WR
